len_bin,out_label_LR,out_label_Prompt_1,out_label_Prompt_2,out_label_Prompt_3,out_label_Prompt_4,out_label_Prompt_5
1-8,0.9423076923076923,0.9278846153846154,0.9326923076923077,0.9038461538461539,0.8846153846153846,0.8846153846153846
9-15,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9083333333333333,0.8833333333333333,0.8916666666666667
16-30,0.8831168831168831,0.8896103896103896,0.8961038961038961,0.8896103896103896,0.8961038961038961,0.8701298701298701
31-45,0.8589743589743589,0.8846153846153846,0.8974358974358975,0.8717948717948718,0.8846153846153846,0.8717948717948718
46+,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.8785714285714286,0.8714285714285714,0.8785714285714286
